country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Type
Senegal,0.396,0.39799999999999996,0.39899999999999997,0.401,0.40299999999999997,0.40399999999999997,0.40399999999999997,0.40399999999999997,0.40399999999999997,0.40399999999999997,0.40399999999999997,0.40399999999999997,0.40399999999999997,undeveloped
Singapore,0.439,0.424,0.42200000000000004,0.425,0.423,0.43200000000000005,0.409,0.41100000000000003,0.409,0.409,0.409,0.409,0.409,developed
Solomon Islands,0.433,0.42,0.40700000000000003,0.39399999999999996,0.382,0.37,0.36700000000000005,0.365,0.365,0.365,0.365,0.365,0.365,undeveloped
Sierra Leone,0.37,0.36200000000000004,0.355,0.34700000000000003,0.34,0.34299999999999997,0.345,0.34700000000000003,0.35,0.35200000000000004,0.355,0.35700000000000004,0.35700000000000004,undeveloped
El Salvador,0.452,0.469,0.45799999999999996,0.435,0.423,0.418,0.434,0.41600000000000004,0.405,0.4,0.38,0.386,0.38799999999999996,undeveloped
Serbia,0.287,0.276,0.28,0.29,0.34,0.39899999999999997,0.395,0.405,0.405,0.38799999999999996,0.361,0.304,0.304,developed
Sao Tome and Principe,0.312,0.311,0.309,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,undeveloped
Suriname,0.604,0.605,0.608,0.609,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,undeveloped
Slovak Republic,0.247,0.26,0.272,0.273,0.265,0.261,0.281,0.261,0.265,0.252,0.251,0.25,0.25,developed
Slovenia,0.244,0.237,0.248,0.249,0.249,0.256,0.262,0.257,0.254,0.248,0.242,0.24600000000000002,0.24600000000000002,developed
Sweden,0.271,0.281,0.273,0.27699999999999997,0.276,0.276,0.28800000000000003,0.284,0.292,0.29600000000000004,0.28800000000000003,0.3,0.3,developed
Eswatini,0.518,0.516,0.515,0.519,0.523,0.528,0.532,0.537,0.541,0.546,0.546,0.546,0.546,undeveloped
Seychelles,0.433,0.439,0.445,0.45,0.456,0.462,0.46799999999999997,0.434,0.40299999999999997,0.374,0.34600000000000003,0.321,0.321,developed
Syria,0.375,0.374,0.374,0.374,0.373,0.373,0.373,0.373,0.373,0.373,0.373,0.373,0.373,undeveloped
Chad,0.415,0.42,0.424,0.429,0.433,0.434,0.434,0.434,0.434,0.434,0.434,0.434,0.434,undeveloped
Togo,0.43,0.43700000000000006,0.445,0.452,0.46,0.45299999999999996,0.445,0.43799999999999994,0.431,0.43,0.43,0.43,0.43,undeveloped
Thailand,0.39799999999999996,0.40299999999999997,0.396,0.39399999999999996,0.375,0.39299999999999996,0.379,0.37,0.36,0.369,0.365,0.364,0.349,developed
